22;22;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. FINO VEGETALx1800ML;AC. FINO VEGETALx1800ML;NULL;;;70;9075.630252;10800;9075.630252;10800;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678921;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
23;23;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GIRASOLIx2000ML;AC. GIRASOLIx2000ML;NULL;;;70;14075.63025;16750;14075.63025;16750;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678922;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
24;24;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GIRASOLIx3000ML;AC. GIRASOLIx3000ML;NULL;;;70;21260.5042;25300;21260.5042;25300;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678923;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
25;25;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GIRASOLIx900ML;AC. GIRASOLIx900ML;NULL;;;70;6638.655462;7900;6638.655462;7900;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678924;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
26;26;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET CANOLAx1000ML;AC. GOURMET CANOLAx1000ML;NULL;;;70;12815.12605;15250;12815.12605;15250;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678925;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
27;27;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET CANOLAx2000ML;AC. GOURMET CANOLAx2000ML;NULL;;;70;24369.7479;29000;24369.7479;29000;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678926;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
28;28;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET CANOLAx3000ML;AC. GOURMET CANOLAx3000ML;NULL;;;70;36050.42017;42900;36050.42017;42900;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678927;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
29;29;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET FAMILIAx250ML;AC. GOURMET FAMILIAx250ML;NULL;;;70;3277.310924;3900;3277.310924;3900;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678928;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
30;30;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET FAMILIAx3000+1GOURMETx500ML;AC. GOURMET FAMILIAx3000+1GOURMETx500ML;NULL;;;70;31680.67227;37700;31680.67227;37700;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678929;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
31;31;1;NULL;4/5/2020 11:42;4/5/2020 11:42;0;AC. GOURMET FAMILIAx3000+1x500ML;AC. GOURMET FAMILIAx3000+1x500ML;NULL;;;70;26882.35294;31990;26882.35294;31990;HT;NULL;NULL;19;0;0;0;0;0;0;0;1;1;0;0;0;0;50;NULL;12345678930;6;;;;;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;100;;NULL;NULL;1;;NULL;0;NULL;NULL;NULL;80;NULL;0;NULL
